county,coordinates,state
Aiken,"(33.6005783, -81.6035062)",South Carolina
Berkeley,"(33.1260618, -80.0087746)",South Carolina
Clarendon,"(33.6734243, -80.1875065)",South Carolina
Darlington,"(34.3649897, -80.0087746)",South Carolina
Florence,"(33.9828684, -79.6502105)",South Carolina
Orangeburg,"(33.5635155, -81.0754657)",South Carolina
Pickens,"(34.9046217, -82.6483442)",South Carolina
Sumter,"(33.9123048, -80.4103957)",South Carolina
Dillon,"(34.3596012, -79.4253776)",South Carolina
Edgefield,"(33.8015886, -81.9534815)",South Carolina
Greenwood,"(34.1672949, -82.12783999999999)",South Carolina
Jasper,"(32.491436, -81.0754657)",South Carolina
Marlboro,"(34.5582435, -79.6951103)",South Carolina
Newberry,"(34.309094, -81.6035062)",South Carolina
Colleton,"(32.8242297, -80.7214417)",South Carolina
Chester,"(34.6707995, -81.1196075)",South Carolina
Georgetown,"(33.4213399, -79.29021329999999)",South Carolina
Oconee,"(34.74924500000001, -82.99316069999999)",South Carolina
Chesterfield,"(34.6830936, -80.1428584)",South Carolina
Marion,"(34.0879705, -79.33528989999999)",South Carolina
Union,"(34.6612778, -81.6035062)",South Carolina
Williamsburg,"(33.62936060000001, -79.6502105)",South Carolina
Laurens,"(34.5203466, -82.12783999999999)",South Carolina
Barnwell,"(33.279925, -81.47183869999999)",South Carolina
Bamberg,"(33.2074402, -81.0754657)",South Carolina
Allendale,"(33.0059695, -81.38393260000001)",South Carolina
Cherokee,"(35.0120404, -81.6035062)",South Carolina
Hampton,"(32.8084577, -81.1196075)",South Carolina
McCormick,"(33.8655162, -82.25832969999999)",South Carolina
Wake,"(35.8031909, -78.5660852)",North Carolina
Chatham,"(35.7211289, -79.17806999999999)",North Carolina
Cabarrus,"(35.4168123, -80.5882803)",North Carolina
Forsyth,"(36.1200003, -80.1875065)",North Carolina
Johnston,"(35.4403514, -78.3842227)",North Carolina
Mecklenburg,"(35.2632655, -80.8543847)",North Carolina
Onslow,"(34.6540094, -77.4701972)",North Carolina
Wayne,"(35.3565499, -77.973865)",North Carolina
Brunswick,"(34.0275398, -78.2020387)",North Carolina
Craven,"(35.0877672, -77.0564464)",North Carolina
Harnett,"(35.35786480000001, -78.8835548)",North Carolina
Watauga,"(36.1941825, -81.73494199999999)",North Carolina
Wilson,"(35.6925497, -77.88245959999999)",North Carolina
Durham,"(36.0221805, -78.9031279)",North Carolina
