state,county,cat_1_count,cat_2_count,cat_3_count,cat_4_count,cat_5_count,hurricane_count,tropical_storm_count,extratropical_system_count,tropical_depression_count,low_count,subtropical_depression_count,dissipating_storm_count,cases,previous_cases,2019_population,change_in_case_ratio
Florida,Alachua,1,0,0,0,0,2,8,0,4,0,0,0,4246.0,3808.0,269043.0,162.79999999999995
Florida,Union,1,0,0,0,0,2,3,1,1,0,0,0,435.0,227.0,15237.0,1365.1000000000001
Florida,Baker,1,0,0,0,0,0,4,0,2,0,0,0,964.0,423.0,29210.0,1852.1
Florida,Santa Rosa,1,1,0,0,0,2,10,1,6,0,0,0,4013.0,3552.0,184313.0,250.10000000000014
Florida,Washington,2,0,0,0,0,2,3,0,3,0,0,0,877.0,676.0,25473.0,789.0999999999999
Florida,Miami-Dade,12,1,2,2,0,17,15,1,18,1,0,0,135129.0,124758.0,2716940.0,381.7000000000007
Florida,Collier,4,8,4,1,0,17,13,1,8,3,0,0,10487.0,9897.0,384902.0,153.29999999999973
Florida,Broward,3,0,2,0,0,5,7,0,3,0,0,0,63605.0,58953.0,1952778.0,238.29999999999973
Florida,Palm Beach,7,3,4,1,0,15,22,0,12,0,0,1,37639.0,34927.0,1496770.0,181.19999999999982
Florida,Glades,1,1,1,0,0,3,11,1,4,0,0,0,406.0,392.0,13811.0,101.39999999999964
Florida,Highlands,2,1,0,0,0,3,5,1,10,0,0,0,1474.0,1296.0,106221.0,167.60000000000014
Florida,Hernando,4,0,0,0,0,4,9,0,1,0,0,0,2069.0,1802.0,193920.0,137.70000000000005
Florida,Sumter,2,0,0,0,0,2,4,0,6,0,0,0,1344.0,1163.0,132420.0,136.70000000000005
Florida,Volusia,5,0,0,0,0,6,11,1,9,1,2,0,8040.0,7288.0,553284.0,135.89999999999986
Florida,Bradford,1,0,0,0,0,1,1,0,0,0,0,0,519.0,341.0,28201.0,631.2
Florida,Escambia,0,2,0,0,0,3,6,0,4,0,0,0,9807.0,8262.0,318316.0,485.4000000000001
Florida,Hendry,0,1,1,0,0,2,15,0,5,0,0,0,1805.0,1691.0,42022.0,271.2999999999997
Florida,Charlotte,3,1,0,1,0,5,8,0,2,0,0,0,2281.0,2076.0,188910.0,108.59999999999991
Florida,Orange,4,0,0,0,0,4,5,0,1,1,1,0,32041.0,30139.0,1393452.0,136.5
Florida,Leon,1,0,0,0,0,1,6,0,3,0,0,0,5115.0,4488.0,293582.0,213.5999999999999
Florida,Walton,2,1,0,0,0,3,10,3,6,0,0,0,1428.0,1286.0,74071.0,191.70000000000005
Florida,Indian River,1,1,0,0,0,3,3,0,5,0,0,0,2555.0,2369.0,159923.0,116.29999999999995
Florida,Pasco,7,1,0,0,0,8,11,0,4,1,0,0,7172.0,6636.0,553947.0,96.79999999999995
Florida,Franklin,2,1,0,0,0,3,6,0,0,0,0,0,433.0,189.0,12125.0,2012.3
Florida,Bay,3,1,1,1,0,7,9,1,1,1,0,0,4523.0,3921.0,174705.0,344.5
Florida,Okaloosa,3,3,2,0,0,9,6,2,6,0,0,0,3586.0,3105.0,210738.0,228.19999999999982
