state,county,cat_1_count,cat_2_count,cat_3_count,cat_4_count,cat_5_count,hurricane_count,tropical_storm_count,extratropical_system_count,tropical_depression_count,low_count,subtropical_depression_count,dissipating_storm_count,current_cases,current_deaths,previous_cases,previous_deaths,2019_population,change_in_case_ratio,change_in_deaths_ratio,storm_composite,km_cluster,dbs_clusters,latitude,longitude,coordinates
Texas,Llano,0,0,0,0,0,0,0,0,1,0,0,0,89.0,1.0,86.0,1.0,21795.0,13.799999999999955,0.0,1,3,0,30.692528,-98.7481167,"(30.692528, -98.7481167)"
Texas,Mills,0,0,0,0,0,0,0,0,1,0,0,0,22.0,0.0,16.0,0.0,4873.0,123.2,0.0,1,3,0,31.6137467,-98.5721016,"(31.6137467, -98.5721016)"
Texas,Hamilton,0,0,0,0,0,0,0,0,1,1,0,0,91.0,3.0,55.0,2.0,8461.0,425.5,11.81893393215932,1,0,0,31.6368668,-98.2212979,"(31.6368668, -98.2212979)"
Texas,Erath,0,0,0,0,0,0,0,0,3,1,0,0,555.0,5.0,476.0,5.0,42698.0,185.0,0.0,3,3,0,32.17934040000001,-98.2212979,"(32.17934040000001, -98.2212979)"
Texas,Willacy,3,2,0,0,0,5,2,0,0,0,0,0,710.0,30.0,614.0,21.0,21358.0,449.5,42.1387770390486,7,0,0,26.4948223,-97.69822719999999,"(26.4948223, -97.69822719999999)"
Texas,Jim Hogg,2,0,0,0,0,2,5,0,4,0,0,0,64.0,1.0,54.0,1.0,5200.0,192.29999999999995,0.0,11,1,0,26.995506,-98.7481167,"(26.995506, -98.7481167)"
Texas,Webb,2,0,0,0,0,2,5,0,6,3,0,0,8490.0,175.0,6921.0,140.0,276652.0,567.1000000000004,12.651273079536745,13,1,0,27.8174487,-99.0128926,"(27.8174487, -99.0128926)"
Texas,Jackson,1,0,0,0,0,1,3,0,0,0,0,0,408.0,7.0,344.0,5.0,14760.0,433.59999999999985,13.550135501355014,4,0,0,28.9340886,-96.5356449,"(28.9340886, -96.5356449)"
Texas,Lavaca,1,0,0,0,0,2,3,0,4,0,0,0,633.0,19.0,613.0,14.0,20154.0,99.20000000000029,24.80897092388608,8,1,0,29.33590539999999,-96.83509989999999,"(29.33590539999999, -96.83509989999999)"
Texas,Colorado,1,0,0,0,0,1,2,0,1,0,0,0,308.0,2.0,257.0,2.0,21493.0,237.29999999999995,0.0,4,0,0,29.5378648,-96.49297969999999,"(29.5378648, -96.49297969999999)"
Texas,Waller,0,1,0,0,0,1,5,0,6,0,0,0,465.0,5.0,413.0,4.0,55246.0,94.10000000000002,1.8100857980668281,12,1,0,29.9751629,-96.02557379999999,"(29.9751629, -96.02557379999999)"
Texas,Wharton,4,0,0,0,0,4,3,0,5,0,0,0,815.0,26.0,641.0,23.0,41556.0,418.7000000000001,7.219174126479931,12,1,0,29.36909319999999,-96.15269850000001,"(29.36909319999999, -96.15269850000001)"
Texas,Zapata,0,0,0,0,0,0,7,0,1,2,0,0,179.0,2.0,160.0,2.0,14179.0,134.0,0.0,8,1,0,26.9730763,-99.1013498,"(26.9730763, -99.1013498)"
Texas,Goliad,2,1,0,0,0,5,2,0,3,0,0,0,96.0,5.0,77.0,3.0,7658.0,248.09999999999994,26.116479498563596,8,1,0,28.5673709,-97.35165579999999,"(28.5673709, -97.35165579999999)"
Texas,Karnes,0,1,0,0,0,2,0,0,8,0,0,0,644.0,7.0,344.0,5.0,15601.0,1922.9,12.819691045445804,9,2,1,28.9089085,-97.87216,"(28.9089085, -97.87216)"
Texas,Wilson,1,0,0,0,0,1,0,0,6,0,0,0,448.0,19.0,422.0,16.0,51070.0,50.9000000000001,5.874290189935382,7,3,0,29.2683783,-98.04651849999999,"(29.2683783, -98.04651849999999)"
Texas,Comal,0,0,0,0,0,0,0,0,2,0,0,0,2474.0,71.0,2231.0,65.0,156209.0,155.5999999999999,3.8410078804678345,2,3,0,29.8105572,-98.2212979,"(29.8105572, -98.2212979)"
Texas,Gillespie,0,0,0,0,0,0,0,0,2,0,0,0,176.0,6.0,171.0,5.0,26988.0,18.5,3.7053505261597746,2,3,0,30.31499299999999,-98.92453429999999,"(30.31499299999999, -98.92453429999999)"
Texas,Bastrop,0,0,0,0,0,1,3,0,1,0,0,0,1375.0,21.0,1302.0,18.0,88723.0,82.29999999999995,3.3813103704789063,4,3,0,30.0458708,-97.35165579999999,"(30.0458708, -97.35165579999999)"
Texas,Lee,0,0,0,0,0,0,0,0,2,0,0,0,177.0,10.0,154.0,8.0,17239.0,133.4000000000001,11.60160102094089,2,3,0,30.2967161,-96.9638624,"(30.2967161, -96.9638624)"
Texas,Orange,0,0,0,0,0,0,2,0,0,0,0,0,1493.0,22.0,1250.0,17.0,83396.0,291.3999999999998,5.995491390474363,2,0,0,30.1484033,-93.86553029999999,"(30.1484033, -93.86553029999999)"
Texas,Tyler,0,0,0,0,0,0,6,0,5,0,0,0,127.0,2.0,115.0,2.0,21672.0,55.399999999999984,0.0,11,1,0,30.7324447,-94.315422,"(30.7324447, -94.315422)"
Texas,Trinity,1,0,0,0,0,1,3,0,8,0,0,0,156.0,4.0,152.0,2.0,14651.0,27.29999999999995,13.650945327963962,12,1,0,31.0687648,-95.1432068,"(31.0687648, -95.1432068)"
Texas,Menard,0,0,0,0,0,0,1,0,0,0,0,0,18.0,0.0,17.0,0.0,2138.0,46.79999999999996,0.0,1,3,0,30.9802428,-99.8124935,"(30.9802428, -99.8124935)"
